[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,Aktiven,,Asset,,,Yes,,,,,,,,,,,,
10,Umlaufvermögen,,Asset,,,Yes,,1,,,,,,,,,,
100,Flüssige Mittel,,Asset,,,Yes,,10,,,,,,,,,,
1000,Kasse,,Asset,,Yes,,CB_ASSET_ACCT,100,,,,,,,,,,
1020,Hausbank CHF,CH37 0483 5076 8189 6100 0,Asset,,Yes,,B_ASSET_ACCT,100,,,,,,,,,,
1021,Hausbank EUR,CH37 0483 5076 8189 6200 0,Asset,,,,,100,,,,,,,,,,
109,Transferkonten,,Asset,,,Yes,,10,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,B_INTRANSIT_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,B_UNALLOCATEDCASH_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,CB_CASHTRANSFER_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,CB_DIFFERENCES_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,CB_RECEIPT_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,CH_REVENUE_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,COMMITMENTOFFSETSALES_ACCT,109,,,,,,,,,,
1090,Transferkonto,,Asset,,Yes,,COMMITMENTOFFSET_ACCT,109,,,,,,,,,,
110,Forderungen aus Lieferungen und Leistungen,,Asset,,,Yes,,10,,,,,,,,,,
1100,Forderungen aus Lieferungen und Leistungen (Debitoren),,Asset,,Yes,,C_RECEIVABLE_ACCT,110,,,,,,,,,,
1100,Forderungen aus Lieferungen und Leistungen (Debitoren),,Asset,,Yes,,C_RECEIVABLE_SERVICES_ACCT,110,,,,,,,,,,
1109,Delkredere,,Asset,,,,,110,,,,,,,,,,
114,Übrige kurzfristige Forderungen,,Asset,,,Yes,,10,,,,,,,,,,
1140,Vorschüsse und Darlehen,,Asset,,,,,114,,,,,,,,,,
1149,Wertberichtigungen Vorschüsse und Darlehen,,Asset,,,,,114,,,,,,,,,,
1176,Verrechnungssteuer,,Asset,,,,,114,,,,,,,,,,
1180,Forderungen gegenüber Sozialversicherungen und Vorsorgeeinrichtungen,,Asset,,,,,114,,,,,,,,,,
1189,Quellensteuer,,Asset,,,,,114,,,,,,,,,,
1190,Sonstige kurzfristige Forderungen,,Asset,,Yes,,INTERCOMPANYDUEFROM_ACCT,114,,,,,,,,,,
1190,Sonstige kurzfristige Forderungen,,Asset,,Yes,,T_CREDIT_ACCT,114,,,,,,,,,,
1199,Wertberichtigungen sonstige kurzfristige Forderungen,,Asset,,,,,114,,,,,,,,,,
120,Vorräte und nicht fakturierte Dienstleistungen,,Asset,,,Yes,,10,,,,,,,,,,
1200,Handelswaren,,Asset,,Yes,,PJ_ASSET_ACCT,120,,,,,,,,,,
1200,Handelswaren,,Asset,,Yes,,P_ASSET_ACCT,120,,,,,,,,,,
1230,Hilfs- und Verbrauchsmaterial,,Asset,,,,,120,,,,,,,,,,
1280,Nicht fakturierte Dienstleistungen,,Asset,,,,PJ_WIP_ACCT,120,,,,,,,,,,
130,Aktive Rechnungsabgrenzungen,,Asset,,,Yes,,10,,,,,,,,,,
1300,Bezahlter Aufwand des Folgejahres,,Asset,,,,,130,,,,,,,,,,
1301,Noch nicht erhaltener Ertrag,,Asset,,,,,130,,,,,,,,,,
14,Anlagevermögen,,Asset,,,Yes,,1,,,,,,,,,,
140,Finanzanlagen,,Asset,,,Yes,,14,,,,,,,,,,
1400,Wertschriften,,Asset,,,,,140,,,,,,,,,,
1409,Wertberichtigungen Wertschriften,,Asset,,,,,140,,,,,,,,,,
148,Beteiligungen,,Asset,,,Yes,,14,,,,,,,,,,
1480,Beteiligungen,,Asset,,,,,148,,,,,,,,,,
1489,Wertberichtigungen Beteiligungen,,Asset,,,,,148,,,,,,,,,,
150,Mobile Sachanlagen,,Asset,,,Yes,,14,,,,,,,,,,
1500,Maschinen und Apparate,,Asset,,,,,150,,,,,,,,,,
1509,Wertberichtigungen Maschinen und Apparate,,Asset,,,,,150,,,,,,,,,,
1510,Mobiliar und Einrichtungen,,Asset,,,,,150,,,,,,,,,,
